48,   marimba-rollsC3-L.aif 0 ;
49,   marimba-rollsC3-L.aif 1 ;
50,   marimba-rolls#D3-L.aif -1 ;
51,   marimba-rolls#D3-L.aif 0 ;
52,   marimba-rolls#D3-L.aif 1 ;
53,   marimba-rolls#F3-L.aif -1 ;
54,   marimba-rolls#F3-L.aif 0 ;
55,   marimba-rolls#F3-L.aif 1 ;
56,   marimba-rollsA3-L.aif -1 ;
57,   marimba-rollsA3-L.aif 0 ;
58,   marimba-rollsA3-L.aif 1 ;
59,   marimba-rollsC4-L.aif -1 ;
60,   marimba-rollsC4-L.aif 0 ;
61,   marimba-rollsC4-L.aif 1 ;
62,   marimba-rolls#D4-L.aif -1 ;
63,   marimba-rolls#D4-L.aif 0 ;
64,   marimba-rolls#D4-L.aif 1 ;
65,   marimba-rolls#F4-L.aif -1 ;
66,   marimba-rolls#F4-L.aif 0 ;
67,   marimba-rolls#F4-L.aif 1 ;
68,   marimba-rollsA4-L.aif -1 ;
69,   marimba-rollsA4-L.aif 0 ;
70,   marimba-rollsA4-L.aif 1 ;
71,   marimba-rollsC5-L.aif -1 ;
72,   marimba-rollsC5-L.aif 0 ;
73,   marimba-rollsC5-L.aif 1 ;
74,   marimba-rolls#D5-L.aif -1 ;
75,   marimba-rolls#D5-L.aif 0 ;
76,   marimba-rolls#D5-L.aif 1 ;
77,   marimba-rolls#F5-L.aif -1 ;
78,   marimba-rolls#F5-L.aif 0 ;
79,   marimba-rolls#F5-L.aif 1 ;
80,   marimba-rollsA5-L.aif -1 ;
81,   marimba-rollsA5-L.aif 0 ;
82,   marimba-rollsA5-L.aif 1 ;
83,   marimba-rollsC6-L.aif -1 ;
84,   marimba-rollsC6-L.aif 0 ;
85,   marimba-rollsC6-L.aif 1 ;
86,   marimba-rolls#D6-L.aif -1 ;
87,   marimba-rolls#D6-L.aif 0 ;
88,   marimba-rolls#D6-L.aif 1 ;
89,   marimba-rolls#F6-L.aif -1 ;
90,   marimba-rolls#F6-L.aif 0 ;
91,   marimba-rolls#F6-L.aif 1 ;
92,   marimba-rollsA6-L.aif -1 ;
93,   marimba-rollsA6-L.aif 0 ;
94,   marimba-rollsA6-L.aif 1 ;
95,   marimba-rollsC7-L.aif -1 ;
96,   marimba-rollsC7-L.aif 0 ;
97,   marimba-rollsC7-L.aif 1 ;
